Soil type,Crop,Latitude,Longitude,pH,P,K,S,OC,EC,Fertilizer Name,predictions_pH,predictions_P,predictions_K,predictions_S,predictions_OC
BlackSoil,Maize,18.07,83.63,8.25,14.57,132,24.35,0.22,0.78,17-17-17,7.352029814,17.48384488,189.4141428,63.52997263,0.479626416
RedSoil,Coconut,18.06,83.62,8.5,11.88,138,10.89,0.27,0.26,20-20,7.511138799,10.70871306,141.1220201,24.63137576,0.432282573
LoamySoil,Maize,18.07,83.63,7.14,23.14,82,12.91,0.31,0.31,Urea,7.497857121,11.57011394,149.7669159,27.98634306,0.41650625
RedSoil,Coconut,18.07,83.62,8.26,19.37,348,41.55,0.98,0.68,28-28,7.378043799,10.40716258,135.8738707,33.70331654,0.452843045
SandySoil,Maize,18.07,83.62,6.75,3.79,103,7.42,0.16,0.12,14-35-14,7.659505886,31.87899732,253.6318002,108.3762479,0.559111343
LoamySoil,Maize,18.07,83.63,6.33,47.13,161,45.26,0.53,0.35,DAP,7.464548967,8.1075989,73.98364215,1.851181098,0.403952448
BlackSoil,Maize,18.07,83.61,7.95,16.96,213,8.58,0.35,0.2,17-17-17,7.475658737,17.51404462,183.3614153,76.20638857,0.598049077
RedSoil,Maize,18.06,83.63,7.55,76.97,660,25.07,0.36,0.54,Urea,7.618550761,15.25554456,153.5029668,41.33910191,0.479033789
LoamySoil,Vegetables,18.06,83.62,7.27,12.18,106,5.03,0.19,0.12,28-28,8.542821912,29.65521757,239.303698,117.5908706,0.90831659
RedSoil,Coconut,18.07,83.62,8.31,24.21,191,19.12,0.59,0.33,DAP,7.462846601,8.78291301,105.3559068,14.50206491,0.422675058
RedSoil,Maize,18.07,83.64,8.36,33.77,58,6.98,0.24,0.2,17-17-17,7.490820001,19.29434712,208.1065589,70.05963502,0.489745995
RedSoil,Maize,18.06,83.62,8.1,35.53,193,11.47,0.41,0.28,Urea,7.360780632,8.418467629,176.0608072,40.86547526,0.451565895
RedSoil,Vegetables,18.07,83.62,7.82,25.43,244,27.99,0.72,0.45,28-28,7.567051253,15.8281065,195.174763,63.42062577,0.529299337
LoamySoil,Coconut,18.07,83.62,7.87,13.55,186,11.61,0.35,0.23,Urea,7.550412922,23.46921962,214.8789209,83.55550682,0.531930141
BlackSoil,Maize,18.06,83.62,5.6,2.95,70,10.54,0.46,0.08,DAP,7.564004629,14.46773832,146.1260072,36.56505236,0.457280309
BlackSoil,Coconut,18.09,83.57,6.86,28.66,94,10.66,0.55,0.22,20-20,7.285023032,12.53037734,82.33036889,21.95025231,0.407767138
LoamySoil,Maize,18.09,83.57,7.05,31.73,123,20.25,0.66,0.38,17-17-17,7.312585116,15.13500257,169.5167502,59.9244793,0.481332687
BlackSoil,Maize,18.1,83.57,8.5,8.72,202,28.03,0.59,0.46,DAP,7.333319893,18.30905166,195.1046055,74.873138,0.505661006
LoamySoil,Cotton,18.11,83.56,7.85,9.94,102,11.21,0.52,0.28,Urea,7.507293693,19.85633953,189.4458663,57.15688907,0.44349307
BlackSoil,Cotton,18.1,83.56,7.76,29.85,243,19.26,0.66,0.42,20-20,7.329868384,14.98818357,163.069565,44.4242224,0.40485369
BlackSoil,Maize,18.09,83.56,7.31,39.64,163,27.98,0.6,0.36,28-28,7.570720644,22.13086999,211.5012664,81.89423465,0.543926659
BlackSoil,Cotton,18.1,83.57,8.2,21.92,166,9.64,0.61,0.17,14-35-14,7.442827782,18.64826991,206.9202955,79.71308523,0.549373588
LoamySoil,Cotton,18.1,83.56,7.15,47.06,240,222.74,0.72,2.3,Urea,7.428901442,18.66642896,203.6756809,68.09821504,0.468496525
LoamySoil,Cotton,18.09,83.56,7.78,53.98,358,121.53,0.87,0.93,DAP,7.621802584,27.4208958,241.8712374,100.4985573,0.688052826
BlackSoil,Cotton,18.11,83.56,6.55,36.01,192,82.96,0.68,0.78,20-20,7.768087363,31.79696407,284.5869055,128.7321843,0.718075897
RedSoil,Cotton,18.1,83.56,7.12,50.01,243,195.87,0.71,1.93,28-28,7.487060651,22.09834767,194.5286481,81.97489401,0.586334893
RedSoil,Maize,18.09,83.56,8.35,22,128,22.36,0.66,0.36,DAP,7.623897049,26.7484659,242.771987,102.3264691,0.689674458
RedSoil,Maize,18.1,83.55,7.88,10.84,101,8.93,0.59,0.26,Urea,7.338659924,18.70405239,215.4609089,71.43348042,0.452395542
RedSoil,Maize,18.1,83.54,8.16,5.63,124,44.28,0.53,0.56,14-35-14,7.300869917,16.2088445,174.7239931,51.65027695,0.405935077
RedSoil,Maize,18.1,83.55,8,2.65,145,14.73,0.49,0.33,28-28,7.378920632,16.61391751,168.043509,43.70323541,0.407959652
RedSoil,Cotton,18.1,83.55,8.3,6.24,74,35.53,0.54,0.65,Urea,7.424096609,15.86965169,151.8117404,37.73825874,0.400013501
RedSoil,Maize,18.1,83.55,8.28,4.85,215,14.28,0.27,0.28,14-35-14,7.272917771,15.07523892,173.6885378,43.27957795,0.379859739
RedSoil,Maize,18.1,83.56,8.32,7.68,84,21.71,0.31,0.36,DAP,7.648387802,14.00792573,132.8875159,24.42685701,0.435822919
LoamySoil,Oil Crops,18.11,83.56,8.27,5.8,135,15.44,0.71,0.27,17-17-17,7.376587675,10.83428642,144.3213394,24.37715272,0.383872097
LoamySoil,Cotton,18.11,83.56,7.41,15.62,160,7.72,0.37,0.11,DAP,7.322219473,19.6875835,194.2059382,61.11557014,0.400874639
LoamySoil,Oil Crops,18.11,83.55,5.7,3.99,130,14.42,0.37,0.11,20-20,7.504425982,13.87630866,139.3094856,37.14300143,0.458649677
LoamySoil,Cotton,18.11,83.55,6.56,27.97,457,26.12,0.54,0.27,14-35-14,7.440670747,12.83047662,74.64659516,18.11225636,0.43987462
LoamySoil,Cotton,18.1,83.55,7.68,13.07,123,42.84,0.51,0.54,28-28,8.043675219,26.54121662,159.7599351,74.97658017,0.666207277
LoamySoil,Oil Crops,18.1,83.55,5.59,9.06,72,33.19,0.61,0.3,Urea,7.388147308,16.10990128,163.8137701,46.73550393,0.44055748
LoamySoil,Cotton,18.1,83.55,6.15,9.03,67,27.17,0.57,0.23,DAP,7.242962456,15.8544896,113.4467318,41.17370063,0.437785842
LoamySoil,Cotton,18.1,83.55,6.2,8.15,140,13.89,0.57,0.19,14-35-14,7.246175531,14.91257585,122.9044352,39.54181709,0.422565872
LoamySoil,Cotton,18.09,83.56,8.03,36.37,205,52.05,0.72,0.47,20-20,7.386346384,16.90864541,122.1178155,42.51545458,0.449021269
LoamySoil,Cotton,18.09,83.56,8.32,5.62,101,23.78,0.7,0.28,28-28,7.487151388,22.80196345,239.2265075,92.52424121,0.554575374
LoamySoil,Cotton,18.09,83.56,7.93,3.71,113,19,0.83,0.19,Urea,7.261173381,18.6298802,194.4084525,58.58085058,0.386047843
LoamySoil,Oil Crops,18.1,83.56,6.91,8.67,84,11.5,0.57,0.12,14-35-14,7.232737331,21.25013351,198.1997295,67.59857978,0.390961522
SandySoil,Cotton,18.11,83.56,6.56,38.09,228,75.93,0.3,0.78,28-28,7.274375081,15.21940424,142.2094763,43.10843714,0.409522984
LoamySoil,Maize,18.1,83.56,6.33,28.77,203,53.09,0.62,0.61,20-20,7.702410474,16.0335972,145.8234747,51.33258821,0.607816988
RedSoil,Maize,18.11,83.55,5.6,21.48,198,25.35,0.64,0.23,Urea,7.51752199,20.65649334,167.2067281,69.56217455,0.560401805
RedSoil,Maize,18.09,83.55,5.52,25.71,143,23.05,0.47,0.15,DAP,7.486328444,20.16730665,136.9002563,61.49621613,0.536852967
LoamySoil,Maize,18.08,83.63,8.31,70.23,183,11.41,0.61,0.28,17-17-17,7.443287767,15.24526176,118.0417448,46.98734503,0.524886288
LoamySoil,Maize,18.08,83.63,7.81,17.9,125,12.53,0.3,0.24,28-28,7.489854818,19.25022251,282.7949957,113.6865549,0.635715251
SandySoil,Maize,18.08,83.63,8.31,35.41,112,11.06,0.56,0.3,Urea,7.46441364,11.65296334,144.5614015,32.80180357,0.443655404
RedSoil,Maize,18.08,83.63,8.35,38.49,211,15.05,0.55,0.37,20-20,7.348428498,16.10574664,221.1685257,73.74688779,0.485627078
LoamySoil,Maize,18.08,83.63,8.45,55.66,141,13.87,0.67,0.3,17-17-17,7.552307262,19.09518908,225.9748821,80.68316831,0.544543933
LoamySoil,Coconut,18.08,83.63,8.15,17.36,123,11.78,0.6,0.31,DAP,7.376242862,19.12694111,272.0271222,104.2520462,0.565345653
RedSoil,Maize,18.09,83.6,7.9,20.62,135,14.29,0.56,0.4,Urea,7.345395142,17.18056516,193.8937119,60.70167795,0.434284756
RedSoil,Maize,18.09,83.61,7.65,10.89,121,28.35,0.54,0.38,20-20,7.387195888,16.83008533,186.8757967,59.65618577,0.456517788
RedSoil,Maize,18.09,83.61,8.13,39.83,149,26.9,0.53,0.31,28-28,7.366502458,16.28793488,162.8173907,47.22924018,0.427420526
RedSoil,Coconut,18.09,83.61,7.91,24.62,125,36.69,0.38,0.61,10-26-26,7.441413332,17.01529647,220.025874,76.17740026,0.527561556
RedSoil,Maize,18.08,83.61,8.07,11.79,122,15.98,0.47,0.26,Urea,7.445944069,13.66737274,170.1822292,46.60141445,0.473256407
BlackSoil,Oil Crops,18.09,83.62,7.2,13.59,177,13.36,0.4,0.46,DAP,7.391412806,14.82028536,165.4499181,43.46799494,0.418390884
SandySoil,Cotton,18.09,83.6,7.78,6.28,73,11.32,0.13,0.15,20-20,7.527644316,15.05084889,134.7935817,37.98039552,0.466184799
LoamySoil,Maize,18.09,83.61,7.41,6.24,110,45.75,0.46,0.39,14-35-14,7.4190212,6.855182532,102.1951968,4.103443512,0.38000968
BlackSoil,Coconut,18.09,83.6,8.44,34.42,165,8.57,0.61,0.22,10-26-26,7.378620222,14.80128336,139.0326224,34.22466492,0.417718112
RedSoil,Maize,18.09,83.6,6.4,6.62,117,7.76,0.72,0.11,20-20,7.433401175,18.64816463,229.8425692,80.48193047,0.504635514
SandySoil,Maize,18.09,83.6,6.88,21.03,72,8.47,0.47,0.11,28-28,7.280376084,18.86838333,145.2884578,54.35191636,0.426764558
RedSoil,Maize,18.09,83.61,6.95,2.26,98,6.76,0.29,0.08,Urea,7.294392003,12.92450341,147.0174123,44.69518255,0.444152952
SandySoil,Vegetables,18.09,83.59,7.8,23.16,130,10.46,0.47,0.25,28-28,7.403922448,10.37484909,94.74243837,12.76201421,0.39248204
SandySoil,Coconut,18.08,83.56,7.42,7.7,79,8.33,0.44,0.12,Urea,7.411658682,14.91075056,175.6374099,53.20088657,0.462938143
BlackSoil,Cotton,18.09,83.59,6.88,11.67,160,12.36,0.35,0.24,DAP,7.312404548,12.66457721,136.7073788,32.27597772,0.393192835
BlackSoil,Cotton,18.08,83.58,6.13,2.37,97,2.05,0.43,0.08,14-35-14,7.511498004,13.52635207,116.144183,29.57550491,0.457156524
LoamySoil,Cotton,18.07,83.56,7,5.68,141,3,0.29,0.07,28-28,7.346935831,12.7127449,91.32376889,22.16606042,0.405834645
BlackSoil,Maize,18.09,83.57,8.05,28.71,102,32.47,0.63,0.47,20-20,7.490057876,11.64079934,101.2726324,18.20881371,0.422295743
SandySoil,Maize,18.07,83.56,8.1,11.78,60,25.76,0.4,0.26,10-26-26,7.305559038,17.51085321,214.3085319,72.39181655,0.471495315
RedSoil,Cotton,18.07,83.56,8.35,4.09,79,60.49,0.62,0.44,DAP,7.298141191,11.80744914,157.2705832,34.2111576,0.39149155
RedSoil,Maize,18.07,83.56,7.48,5.77,68,11.95,0.49,0.15,14-35-14,7.259806323,17.25505179,184.0329003,48.98697075,0.383670625
BlackSoil,Maize,18.07,83.57,8.05,3.3,79,76.8,0.53,0.44,Urea,7.271631391,13.33446603,142.3424593,34.72868873,0.381716531
SandySoil,Maize,18.08,83.57,6.82,5.79,109,11.77,0.39,0.17,DAP,7.299368718,15.89346119,163.2534386,38.91631671,0.392809794
SandySoil,Cotton,18.07,83.57,7.2,5.27,149,13.59,0.27,0.27,20-20,7.391322541,12.65718498,110.6754441,25.05613751,0.413841903
LoamySoil,Maize,18.08,83.57,7.71,5.26,68,9.15,0.45,0.15,28-28,7.517052678,11.7765358,103.9803721,17.22293978,0.42509912
RedSoil,Maize,18.09,83.59,6.46,16.32,141,27.81,0.74,0.17,14-35-14,7.285645693,12.56805692,142.2089855,31.57157463,0.374683452
RedSoil,Maize,18.07,83.58,7.6,11.87,52,5.94,0.21,0.16,10-26-26,7.332769596,20.4250569,166.0803596,66.47583199,0.477062773
RedSoil,Maize,18.07,83.57,7.8,14.55,67,8.23,0.38,0.18,Urea,7.34791059,7.540350064,116.6719425,14.70834819,0.389710133
SandySoil,Vegetables,18.07,83.58,7.68,27.81,98,6,0.43,0.13,10-26-26,7.315148307,11.23440173,149.6827247,34.07772218,0.403014455
RedSoil,Maize,18.07,83.57,7.91,10.63,131,14.92,0.39,0.29,DAP,7.364256257,13.05994968,173.9571111,51.7969632,0.463425539
RedSoil,Maize,18.07,83.57,7.72,1.62,59,4.78,0.09,0.08,14-35-14,7.438845781,13.57256077,148.2743698,34.9676302,0.421472274
LoamySoil,Maize,18.09,83.59,9.22,1.24,83,8.44,0.06,0.37,10-26-26,7.401604894,5.529294255,87.38684147,-4.715504055,0.35640175
SandySoil,Maize,18.09,83.58,8.2,5.96,166,6.98,0.46,0.18,Urea,7.461867853,6.023567032,123.9190825,-0.553611099,0.34023765
LoamySoil,Maize,18.11,83.59,8.45,14.66,223,9.87,0.47,0.19,14-35-14,7.476461943,15.8317775,157.9459479,39.89779489,0.414509401
RedSoil,Maize,18.09,83.58,7.85,45.66,140,8.05,0.39,0.21,28-28,7.591840329,17.89134975,180.001107,52.5842345,0.467426084
RedSoil,Maize,18.08,83.59,8.44,5.86,98,18.15,0.52,0.24,10-26-26,7.473598813,13.69656388,201.35108,67.29768023,0.540624388
RedSoil,Maize,18.09,83.59,7.81,23.69,116,18.62,0.63,0.38,Urea,7.322074609,15.10050238,173.1831872,42.86387905,0.381026362
RedSoil,Maize,18.09,83.59,8.4,20.03,127,18.23,0.54,0.33,DAP,7.325862293,17.61401994,199.0463508,67.50639456,0.460826043
RedSoil,Maize,18.09,83.58,8.32,3.02,105,12.99,0.28,0.29,20-20,7.379951041,16.3697209,197.1174255,58.92990845,0.442876877
ClayeySoil,Cotton,18.08,83.59,7.42,12.77,146,9.1,0.4,0.14,Urea,7.424242814,10.74575874,132.3914935,18.42022581,0.375265068
ClayeySoil,Cotton,18.09,83.58,7.85,11.98,180,20,0.49,0.28,DAP,7.464034574,14.02692461,139.2716712,36.59504594,0.442748653
ClayeySoil,Cotton,18.09,83.59,7.78,20.78,127,11.47,0.43,0.21,14-35-14,7.500685955,17.05025205,162.6953426,47.40751585,0.452715301
ClayeySoil,Cotton,16.61,81.38,7.66,30.83,274,493.53,0.67,3.71,28-28,7.419997404,14.09530113,165.9472079,47.17379404,0.454340258
ClayeySoil,Cotton,16.61,81.37,7.54,20.58,252,417.53,0.55,2.44,Urea,7.793453247,33.43685298,239.1401507,84.81411339,0.743753028
ClayeySoil,Cotton,16.61,81.37,7.37,35.71,264,543.49,0.82,3.55,17-17-17,7.763512566,28.88196697,198.9590094,63.00100368,0.672513539
ClayeySoil,Cotton,16.61,81.37,7.21,35.64,206,348.31,0.7,1.77,20-20,7.736302555,36.93110462,262.2474901,101.192412,0.779437125
ClayeySoil,Cotton,16.61,81.37,7.66,37.69,290,421.68,0.67,2.85,Urea,7.599022196,28.69341087,230.0874306,86.79037139,0.680148474
ClayeySoil,Cotton,16.61,81.38,7.31,29.66,249,457.39,0.72,2.67,28-28,7.804159997,32.3943657,245.7723425,91.89081671,0.747045558
ClayeySoil,Cotton,16.6,81.38,7.7,17.55,249,376.73,0.54,2.58,14-35-14,7.711463826,32.75693213,232.4586372,85.62491804,0.720584879
ClayeySoil,Cotton,16.34,81.23,7.42,20.88,156,217.02,0.62,2.05,DAP,7.745559773,27.75232629,194.8390306,59.8155101,0.642566805
ClayeySoil,Cotton,16.34,81.23,7.31,21.28,163,162.94,0.65,1.65,17-17-17,7.476470554,22.87084646,194.0880694,64.41416977,0.553293793
ClayeySoil,Cotton,16.34,81.23,7.6,25.65,247,355.12,0.61,2.75,Urea,7.460432511,22.46824474,192.6709118,67.39319012,0.539565326
ClayeySoil,Cotton,16.34,81.23,7.72,21.78,222,362.78,0.57,2.16,28-28,7.711825481,28.50792498,213.1479278,73.07261364,0.66215883
ClayeySoil,Cotton,16.34,81.23,7.66,44.33,241,366.67,0.64,2.33,DAP,7.677875062,27.17084641,205.3262396,65.16445416,0.637879891
ClayeySoil,Cotton,16.61,81.37,7.76,14.36,208,290.23,0.45,2.3,17-17-17,7.702692314,29.13322934,248.9407095,92.86642736,0.724522645
ClayeySoil,Cotton,16.6,81.37,7.72,44.76,237,332.42,0.66,2.05,Urea,7.666601287,22.96296298,174.1720454,46.9842616,0.578237745
ClayeySoil,Cotton,16.61,81.36,7.44,73.77,211,285.33,0.74,1.67,28-28,7.675469852,28.65350137,252.0027904,95.11473956,0.709919667
ClayeySoil,Cotton,16.61,81.38,6.53,46.07,208,458.61,0.8,2.1,Urea,7.592811792,28.27359505,298.1781197,126.5529788,0.780998509
ClayeySoil,Cotton,16.61,81.38,7.38,69.33,256,431.97,0.83,2.1,DAP,7.608782334,32.87122802,247.9369939,102.7552522,0.770184372
ClayeySoil,Cotton,16.61,81.38,7.44,74.12,211,313.48,0.69,2,20-20,7.696379529,34.47717963,310.3232513,132.5818774,0.84472383
ClayeySoil,Cotton,16.6,81.38,7.08,61.86,211,245.22,0.8,1.55,17-17-17,7.621837862,27.95137837,293.5374838,122.3535397,0.792826664
ClayeySoil,Cotton,16.61,81.38,7.17,28.97,155,265.22,0.68,2,DAP,7.549481303,28.47077872,275.4596443,119.6022845,0.732963015
ClayeySoil,Cotton,16.34,81.23,7.53,17.27,195,662.42,0.43,2.4,Urea,7.472724735,24.94704124,210.9587623,76.20244037,0.602579229
ClayeySoil,Cotton,16.34,81.23,7.8,19.81,160,181.31,0.44,2.2,20-20,7.778921218,30.13473972,191.2884465,46.28076266,0.726910168
ClayeySoil,Cotton,16.34,81.23,7.7,27.02,167,200.68,0.59,2.53,28-28,7.540159149,18.95323234,176.1682414,48.88681223,0.531077448
ClayeySoil,Cotton,16.34,81.23,8.08,11.17,127,159.97,0.32,2,14-35-14,7.507514789,22.34928533,206.3646837,69.00161163,0.567599701
ClayeySoil,Cotton,16.34,81.23,6.28,21.34,97,246.21,0.58,1.07,Urea,7.508153148,15.28762498,152.6220793,29.6233635,0.473126526
ClayeySoil,Cotton,16.34,81.23,7.52,24.7,153,159.12,0.53,1.86,DAP,7.384703268,20.74855228,159.8766097,53.73194423,0.558529575
ClayeySoil,Cotton,16.34,81.23,7.81,48.3,126,232.43,0.78,2.25,20-20,7.486881018,19.88416273,187.2003441,60.03711895,0.540722574
ClayeySoil,Cotton,16.34,81.23,7.62,17.95,161,193.27,0.45,2,28-28,7.376107244,25.28802994,270.6141853,104.1311755,0.628374717
ClayeySoil,Cotton,16.54,81.37,7.12,37.85,167,357.03,0.88,1.4,DAP,7.541456001,19.39915346,170.3774124,47.40837,0.533267966
ClayeySoil,Cotton,16.54,81.37,7.6,15.01,227,332.84,0.53,1.62,Urea,7.456964773,30.98555417,256.1666189,102.8161738,0.673583528
ClayeySoil,Cotton,16.54,81.37,7.62,11.11,245,336.23,0.5,1.64,14-35-14,7.688999137,25.92591175,184.2024559,55.09990005,0.608715375
ClayeySoil,Cotton,16.54,81.37,6.62,79.71,277,345.58,1.18,1.48,28-28,7.735297917,26.00663142,174.7165183,49.77358868,0.605395391
ClayeySoil,Cotton,16.54,81.36,6.03,77.14,273,284.44,1.21,1.23,Urea,7.580366103,39.64625533,348.6237639,171.7123849,0.870752016
ClayeySoil,Cotton,16.54,81.36,6.88,114.76,406,584.41,1.21,2.7,14-35-14,7.538364122,38.67804656,329.0012831,169.493174,0.84809498
ClayeySoil,Cotton,16.54,81.36,7.36,121.27,611,996.82,0.94,2.9,DAP,7.927588619,49.37944774,428.8033309,213.9465988,1.13520627
ClayeySoil,Cotton,16.53,81.36,6.9,50.39,107,417.21,1.15,4.1,17-17-17,8.584997733,59.67934842,439.2171377,207.4933189,1.403391165
ClayeySoil,Cotton,16.53,81.36,6.06,19.2,166,161.72,0.85,0.79,DAP,7.262276238,35.37438864,310.2034792,134.9001835,0.713060481
ClayeySoil,Cotton,16.53,81.36,6.05,16.1,102,218.84,0.81,1.02,20-20,7.388515855,26.05241053,182.4380741,78.67600817,0.556907206
ClayeySoil,Cotton,16.53,81.35,5.93,20.32,186,444.73,0.97,2.06,14-35-14,7.294523093,24.54200813,175.1379947,69.03792017,0.53746426
ClayeySoil,Cotton,16.55,81.37,6.14,45.14,167,228.56,1.06,1.16,28-28,7.481191943,34.94685329,213.4079165,91.0090719,0.679961022
ClayeySoil,Cotton,16.54,81.36,6.82,48.19,181,284.49,1.02,1.41,Urea,7.347763221,31.41747597,257.9600673,121.826443,0.667337097
ClayeySoil,Cotton,16.55,81.37,6.2,38.23,183,306.72,1.07,1.36,DAP,7.411937505,32.4136429,279.1323827,124.4349002,0.69277983
ClayeySoil,Cotton,16.55,81.37,6.4,56.29,166,745.04,0.89,5.3,14-35-14,7.399072739,33.78595803,254.6194041,117.4188056,0.680644165
ClayeySoil,Cotton,16.55,81.36,7.37,17.64,71,184.04,1.15,1.4,20-20,7.595718572,39.35266775,289.3295834,117.6829114,0.894727783
ClayeySoil,Cotton,16.55,81.36,7.2,13.34,171,118.03,0.74,1.05,28-28,7.0918799,29.32328452,258.0221365,104.9901487,0.489824547
ClayeySoil,Cotton,16.55,81.36,7.31,7.83,168,159.72,0.6,1.21,Urea,7.422087821,23.40447228,186.8488505,68.19609719,0.502110931
ClayeySoil,Cotton,16.55,81.36,5.83,18.68,167,221.04,0.94,1.38,14-35-14,7.480964611,21.62903582,164.5010673,50.78111566,0.49611842
ClayeySoil,Cotton,16.36,81.22,7.61,8.02,251,453.06,0.31,2.05,28-28,7.376428916,28.98785623,191.0458497,85.45787518,0.582421313
ClayeySoil,Cotton,16.36,81.22,7.68,10.13,275,582.72,0.48,2.42,20-20,7.858526307,25.17900844,150.4254448,30.0154382,0.642496855
ClayeySoil,Cotton,16.36,81.22,7.83,25.21,258,320.85,0.51,2.13,Urea,7.887491082,31.86527982,186.3615834,48.77928539,0.708946392
ClayeySoil,Cotton,16.35,81.22,7.87,15.47,259,404.59,0.38,2.5,DAP,7.75975863,26.29818878,203.1161423,65.09448355,0.64875882
ClayeySoil,Cotton,16.36,81.22,7.47,16.87,241,388.61,0.55,2,17-17-17,7.835026672,25.72377417,175.9987571,44.61768668,0.64789674
ClayeySoil,Cotton,16.36,81.22,7.3,22.13,254,355.6,0.69,2.31,28-28,7.72956835,27.90878837,189.5331038,58.77658847,0.645217446
ClayeySoil,Cotton,16.36,81.22,7.7,10.56,243,317.49,0.46,2.45,Urea,7.693459802,30.172827,210.3497922,76.21073385,0.659626258
ClayeySoil,Cotton,16.36,81.21,7.98,10.06,349,251.58,0.42,1.63,20-20,7.739787711,24.81372827,169.4958544,45.87712548,0.594012287
ClayeySoil,Cotton,16.36,81.22,7.44,40.02,233,420.05,0.79,2.5,17-17-17,7.942859276,26.00252042,167.090216,48.1280101,0.613482901
ClayeySoil,Cotton,16.36,81.22,7.96,9.82,243,386.5,0.48,3.02,DAP,7.645662522,32.77355298,259.7007292,101.1955789,0.730662235
ClayeySoil,Cotton,16.35,81.22,7.65,52.85,391,651.71,0.67,3.4,Urea,7.755660294,26.7027467,182.1654155,48.05453173,0.612867132
ClayeySoil,Cotton,16.35,81.22,6.82,62.46,342,876.35,0.93,3.17,20-20,8.093151365,40.4710431,282.6730623,110.7078739,0.933609345
ClayeySoil,Cotton,16.36,81.22,7.98,19.61,413,304.52,0.51,1.63,28-28,7.979541457,48.45292561,323.5822831,137.2809465,1.042349938
ClayeySoil,Cotton,16.36,81.22,7.42,38.74,224,347.98,0.67,2.17,10-26-26,8.059445564,30.79744524,197.4606705,68.1624029,0.696225563
ClayeySoil,Cotton,16.36,81.22,6.83,34.99,225,436.98,0.74,2.22,Urea,7.647873804,28.72271826,236.5943584,88.65050228,0.695120466
ClayeySoil,Cotton,16.36,81.22,7.38,54.21,411,406,1.05,2.32,DAP,7.651930008,31.87054408,229.2677403,89.21048998,0.727856504
ClayeySoil,Cotton,16.35,81.22,7.34,48.64,327,415.2,0.76,3.22,20-20,7.903547609,42.82115279,315.0449092,146.2032258,0.859727006
ClayeySoil,Cotton,16.36,81.22,7.62,9.06,268,294.75,0.2,2.1,14-35-14,7.847202032,35.02647284,266.1552401,110.5956858,0.804803811
ClayeySoil,Cotton,16.36,81.22,7.7,6.8,283,499.1,0.5,2.9,10-26-26,7.880048652,20.27817936,128.1593436,21.89815946,0.594007334
ClayeySoil,Cotton,16.35,81.22,7.48,28.64,208,353.54,0.71,3.01,20-20,7.864976672,30.69458988,179.5549769,48.00595506,0.669708598
ClayeySoil,Cotton,16.59,81.36,7.41,58.51,297,744.65,0.82,5.47,28-28,7.597156063,29.09332347,228.1230717,82.4601849,0.65483847
ClayeySoil,Cotton,16.59,81.36,7.48,61.33,267,509.6,0.78,3.1,Urea,7.884177765,42.27847843,310.8637963,123.8845352,0.946574206
ClayeySoil,Cotton,16.59,81.36,7.66,70.26,238,655.33,0.69,4.7,28-28,7.759854748,35.57351153,298.1446517,121.6659646,0.851047152
ClayeySoil,Cotton,16.58,81.35,8.06,37.32,170,560.17,0.31,2.55,Urea,7.791889608,36.15574592,313.277059,121.0236095,0.918521308
ClayeySoil,Cotton,16.58,81.35,7.96,26.68,114,238.37,0.46,1.53,DAP,7.75054522,25.02053866,215.0315489,54.73258892,0.73275951
ClayeySoil,Cotton,16.58,81.35,7.83,58.85,177,497.86,0.71,3.75,14-35-14,7.464537145,19.13852272,197.3849773,55.38585349,0.550257972
ClayeySoil,Cotton,16.59,81.36,7.82,50.84,261,674.69,0.62,3.3,28-28,7.602056903,31.2749778,293.5818349,110.0605046,0.788286265
ClayeySoil,Cotton,16.59,81.36,7.6,41.32,58,382.94,0.91,1.72,20-20,7.860417375,36.0148411,278.6677935,98.65494026,0.869549625
ClayeySoil,Cotton,16.58,81.35,7.96,39.5,208,301.35,0.59,1.83,10-26-26,7.239510532,28.77383463,280.3432502,105.3015737,0.633223221
ClayeySoil,Cotton,16.58,81.35,7.77,30.84,262,375.4,0.56,2.32,DAP,7.630826313,25.82371075,238.9390618,83.50690057,0.662182432
ClayeySoil,Cotton,16.58,81.35,8.15,47.22,290,334.11,0.63,2.46,14-35-14,7.770627958,28.50945135,220.3145294,74.73325049,0.691169851
ClayeySoil,Cotton,16.59,81.35,6.95,35.99,248,642.3,0.67,2.82,Urea,7.794312982,29.84894297,263.6347119,98.99067336,0.736382681
ClayeySoil,Cotton,16.59,81.35,7.72,44.32,162,97.51,0.54,0.58,DAP,7.796096949,35.7114261,236.4626215,85.41045607,0.817875414
ClayeySoil,Cotton,16.59,81.36,7.4,55.71,297,548.55,0.75,3.35,20-20,7.490394067,19.05829456,221.3341913,80.18469931,0.583142293
ClayeySoil,Cotton,16.59,81.36,8.12,12.17,142,182.16,0.27,1.51,28-28,7.841408096,36.77556658,285.2778623,114.9473233,0.863161309
ClayeySoil,Cotton,16.58,81.35,8.1,44.19,193,274.37,0.59,2.25,14-35-14,7.56531785,15.31070548,149.7525952,26.91681689,0.491371231
ClayeySoil,Cotton,16.59,81.36,6.93,41.43,240,574.43,0.81,5.85,10-26-26,7.594205192,24.79891008,248.5833409,87.63754005,0.657661776
ClayeySoil,Cotton,16.58,81.35,7.76,80.22,189,963.66,1.04,4.55,Urea,7.706223019,36.5963231,259.6447542,102.5846482,0.806716203
